facture_id,fournisseur_id,date_facture,date_echeance,montant_ht,tva_montant,montant_ttc,statut,date_paiement,compte_charge,reference
INV_000058,SUPP_012,2024-06-19,2024-08-03,66118.77,13223.75,79342.52,Payée,2024-07-09,606,REF_58
INV_000059,SUPP_002,2024-06-15,2024-07-15,82575.77,16515.15,99090.92,Payée,2024-07-25,615,REF_59
INV_000060,SUPP_022,2024-06-07,2024-06-22,34950.04,6990.01,41940.05,Echue,,681,REF_60
INV_000061,SUPP_024,2024-07-26,2024-08-10,85511.8,17102.36,102614.16,Echue,,681,REF_61
INV_000062,SUPP_002,2024-07-14,2024-09-12,54853.34,10970.67,65824.01,Payée,2024-08-19,606,REF_62
INV_000063,SUPP_017,2024-07-28,2024-08-27,81420.29,16284.06,97704.35,Payée,2024-09-23,615,REF_63
INV_000064,SUPP_021,2024-07-16,2024-08-15,21373.64,4274.73,25648.37,Echue,,615,REF_64
INV_000065,SUPP_018,2024-07-23,2024-08-07,55845.33,11169.07,67014.4,Payée,2024-09-07,681,REF_65
INV_000066,SUPP_014,2024-07-20,2024-08-04,60337.93,12067.59,72405.52,Payée,2024-09-11,625,REF_66
INV_000067,SUPP_009,2024-07-04,2024-08-03,50698.81,10139.76,60838.57,Payée,2024-07-21,641,REF_67
INV_000068,SUPP_026,2024-07-27,2024-09-10,22441.34,4488.27,26929.61,Echue,,623,REF_68
INV_000069,SUPP_018,2024-07-26,2024-08-10,69450.19,13890.04,83340.23,Payée,2024-08-31,625,REF_69
INV_000070,SUPP_033,2024-07-03,2024-08-02,91804.84,18360.97,110165.81,Payée,2024-07-19,606,REF_70
INV_000071,SUPP_026,2024-08-24,2024-10-08,72786.0,14557.2,87343.2,Echue,,622,REF_71
INV_000072,SUPP_016,2024-08-08,2024-10-07,79337.14,15867.43,95204.57,Echue,,681,REF_72
INV_000073,SUPP_016,2024-08-22,2024-09-21,45149.6,9029.92,54179.52,Payée,2024-09-11,615,REF_73
INV_000074,SUPP_020,2024-08-08,2024-08-23,46956.19,9391.24,56347.43,Echue,,681,REF_74
INV_000075,SUPP_014,2024-08-07,2024-08-22,22693.48,4538.7,27232.18,Payée,2024-08-18,606,REF_75
INV_000076,SUPP_004,2024-08-26,2024-09-10,48777.52,9755.5,58533.02,Payée,2024-09-25,622,REF_76
INV_000077,SUPP_026,2024-08-02,2024-09-01,80754.62,16150.92,96905.54,Payée,2024-09-19,606,REF_77
INV_000078,SUPP_026,2024-08-13,2024-09-12,25965.11,5193.02,31158.13,Payée,2024-09-07,623,REF_78
INV_000079,SUPP_023,2024-08-16,2024-10-15,6324.41,1264.88,7589.29,Payée,2024-09-04,625,REF_79
INV_000080,SUPP_020,2024-08-23,2024-09-07,84070.87,16814.17,100885.04,Payée,2024-09-16,622,REF_80
INV_000081,SUPP_014,2024-09-14,2024-10-29,49743.87,9948.77,59692.64,Echue,,681,REF_81
INV_000082,SUPP_013,2024-09-19,2024-10-19,93735.73,18747.15,112482.88,Payée,2024-10-29,626,REF_82
INV_000083,SUPP_007,2024-09-18,2024-11-17,84368.58,16873.72,101242.3,Echue,,681,REF_83
INV_000084,SUPP_007,2024-09-16,2024-10-31,34660.43,6932.09,41592.52,Echue,,622,REF_84
INV_000085,SUPP_005,2024-09-05,2024-10-20,28137.92,5627.58,33765.5,Echue,,641,REF_85
INV_000086,SUPP_006,2024-09-21,2024-10-06,12791.55,2558.31,15349.86,Payée,2024-10-12,615,REF_86
INV_000087,SUPP_008,2024-09-21,2024-11-20,32884.69,6576.94,39461.63,Payée,2024-11-06,681,REF_87
INV_000088,SUPP_012,2024-09-03,2024-10-18,95358.89,19071.78,114430.67,Echue,,626,REF_88
INV_000089,SUPP_017,2024-09-12,2024-10-27,26631.52,5326.3,31957.82,Payée,2024-10-03,622,REF_89
INV_000090,SUPP_013,2024-09-19,2024-10-04,56877.24,11375.45,68252.69,Echue,,615,REF_90
INV_000091,SUPP_005,2024-10-10,2024-10-25,62102.23,12420.45,74522.68,Echue,,622,REF_91
INV_000092,SUPP_008,2024-10-02,2024-12-01,76458.99,15291.8,91750.79,Payée,2024-11-26,622,REF_92
INV_000093,SUPP_011,2024-10-25,2024-12-09,25633.08,5126.62,30759.7,Payée,2024-12-21,623,REF_93
INV_000094,SUPP_029,2024-10-10,2024-10-25,80712.27,16142.45,96854.72,Payée,2024-11-25,623,REF_94
INV_000095,SUPP_021,2024-10-14,2024-12-13,44333.97,8866.79,53200.76,Payée,2024-12-01,615,REF_95
INV_000096,SUPP_001,2024-10-07,2024-12-06,92341.87,18468.37,110810.24,Payée,2024-11-06,626,REF_96
INV_000097,SUPP_010,2024-10-06,2024-11-05,86386.47,17277.29,103663.76,Payée,2024-12-04,626,REF_97
INV_000098,SUPP_024,2024-10-26,2024-11-25,55728.67,11145.73,66874.4,Echue,,622,REF_98
INV_000099,SUPP_021,2024-10-10,2024-12-09,97273.68,19454.74,116728.42,Payée,2024-11-22,681,REF_99
INV_000100,SUPP_032,2024-10-01,2024-11-15,78517.02,15703.4,94220.42,Echue,,623,REF_100
INV_000101,SUPP_032,2024-11-16,2024-12-16,20300.87,4060.17,24361.04,Payée,2025-01-01,615,REF_101
INV_000102,SUPP_023,2024-11-25,2025-01-09,79401.63,15880.33,95281.96,Payée,2024-12-28,641,REF_102
INV_000103,SUPP_033,2024-11-07,2025-01-06,94434.03,18886.81,113320.84,Payée,2024-12-18,615,REF_103
INV_000104,SUPP_018,2024-11-20,2025-01-04,86219.09,17243.82,103462.91,Payée,2025-01-09,626,REF_104
INV_000105,SUPP_010,2024-11-24,2025-01-23,11555.74,2311.15,13866.89,Payée,2024-12-21,623,REF_105
INV_000106,SUPP_033,2024-11-17,2025-01-01,86987.15,17397.43,104384.58,Payée,2025-01-07,625,REF_106
INV_000107,SUPP_030,2024-11-08,2024-11-23,29235.37,5847.07,35082.44,Echue,,622,REF_107
INV_000108,SUPP_012,2024-11-26,2025-01-10,27255.65,5451.13,32706.78,Payée,2024-12-24,615,REF_108
INV_000109,SUPP_005,2024-11-21,2024-12-06,49077.8,9815.56,58893.36,Echue,,615,REF_109
INV_000110,SUPP_012,2024-11-22,2024-12-07,32421.5,6484.3,38905.8,Payée,2024-11-28,622,REF_110
INV_000111,SUPP_012,2024-12-12,2025-02-10,53749.88,10749.98,64499.86,Echue,,615,REF_111
INV_000112,SUPP_016,2024-12-05,2025-01-19,93324.1,18664.82,111988.92,Payée,2025-01-01,681,REF_112
INV_000113,SUPP_005,2024-12-28,2025-01-12,41235.24,8247.05,49482.29,Echue,,622,REF_113
INV_000114,SUPP_015,2024-12-10,2025-02-08,62727.03,12545.41,75272.44,Payée,2025-01-25,681,REF_114
INV_000115,SUPP_015,2024-12-07,2025-02-05,40834.93,8166.99,49001.92,Payée,2025-01-28,623,REF_115
INV_000116,SUPP_026,2024-12-21,2025-01-20,47941.64,9588.33,57529.97,Payée,2025-01-31,641,REF_116
INV_000117,SUPP_013,2024-12-21,2025-02-19,26000.51,5200.1,31200.61,Payée,2025-01-17,622,REF_117
INV_000118,SUPP_016,2024-12-16,2025-01-15,77137.05,15427.41,92564.46,Payée,2025-01-20,625,REF_118
INV_000119,SUPP_033,2024-12-10,2024-12-25,1868.94,373.79,2242.73,Payée,2025-01-11,606,REF_119
INV_000120,SUPP_035,2024-12-12,2024-12-27,91409.74,18281.95,109691.69,Payée,2024-12-21,615,REF_120
