ecriture_id,date_ecriture,journal,numero_piece,compte_debit,compte_credit,montant,libelle,centre_cout,projet,statut
119,2024-02-28,TR,BQ_000119,401,512,97998.49,Paiement fournisseur,2,,Validée
120,2024-02-07,TR,BQ_000120,401,512,7574.12,Paiement fournisseur,7,,Validée
121,2024-02-03,TR,BQ_000121,512,411,137659.62,Encaissement client,8,PROJ_015,Validée
122,2024-02-05,TR,BQ_000122,512,411,134021.76,Encaissement client,8,PROJ_002,Validée
123,2024-02-03,TR,BQ_000123,512,411,147230.72,Encaissement client,8,PROJ_014,Validée
124,2024-02-11,TR,BQ_000124,401,512,94718.92,Paiement fournisseur,6,,Validée
125,2024-02-21,TR,BQ_000125,401,512,35779.06,Paiement fournisseur,2,,Validée
126,2024-02-07,TR,BQ_000126,401,512,74910.94,Paiement fournisseur,5,,Validée
127,2024-03-19,OP,PJ_000127,623,401,6577.46,Honoraires consultant,2,PROJ_015,Validée
128,2024-03-11,VE,PJ_000128,622,401,13341.46,Maintenance,4,PROJ_006,Validée
129,2024-03-09,TR,PJ_000129,622,401,22088.26,Maintenance,10,PROJ_017,Brouillon
130,2024-03-24,OP,PJ_000130,681,401,49275.68,Facture fournisseur,2,,Validée
131,2024-03-08,AC,PJ_000131,641,401,35092.87,Facture fournisseur,6,PROJ_014,Pointée
132,2024-03-26,VE,PJ_000132,641,401,45078.33,Honoraires consultant,6,PROJ_010,Validée
133,2024-03-06,AC,PJ_000133,606,401,3825.18,Achats matériaux,7,,Validée
134,2024-03-27,VE,PJ_000134,622,401,45050.92,Achats matériaux,9,PROJ_010,Brouillon
135,2024-03-26,VE,PJ_000135,615,401,20516.88,Achats matériaux,6,PROJ_019,Validée
136,2024-03-19,AC,PJ_000136,622,401,12644.78,Services sous-traitance,4,PROJ_007,Validée
137,2024-03-22,OP,PJ_000137,681,401,24064.49,Honoraires consultant,8,,Validée
138,2024-03-20,TR,PJ_000138,622,401,8519.69,Facture fournisseur,2,PROJ_002,Validée
139,2024-03-09,AC,PJ_000139,606,401,17901.24,Honoraires consultant,8,PROJ_007,Validée
140,2024-03-18,TR,PJ_000140,622,401,40071.09,Achats matériaux,3,PROJ_017,Validée
141,2024-03-10,AC,PJ_000141,641,401,34682.73,Maintenance,8,PROJ_017,Validée
142,2024-03-22,TR,PJ_000142,606,401,32042.96,Achats matériaux,9,PROJ_009,Brouillon
143,2024-03-15,TR,PJ_000143,641,401,2686.19,Facture fournisseur,7,PROJ_007,Validée
144,2024-03-21,OP,PJ_000144,681,401,36685.67,Achats matériaux,7,PROJ_020,Validée
145,2024-03-18,OP,PJ_000145,606,401,26360.51,Services sous-traitance,2,PROJ_011,Validée
146,2024-03-23,OP,PJ_000146,641,401,20522.03,Facture fournisseur,4,PROJ_013,Validée
147,2024-03-16,TR,PJ_000147,626,401,21627.44,Achats matériaux,7,PROJ_002,Validée
148,2024-03-23,VE,PJ_000148,681,401,9680.91,Services sous-traitance,7,,Validée
149,2024-03-17,AC,PJ_000149,623,401,20395.58,Facture fournisseur,8,,Validée
150,2024-03-25,TR,PJ_000150,625,401,17150.34,Facture fournisseur,1,,Validée
151,2024-03-18,VE,PJ_000151,625,401,15167.25,Facture fournisseur,1,PROJ_015,Validée
152,2024-03-17,TR,PJ_000152,623,401,19885.69,Services sous-traitance,10,PROJ_005,Validée
153,2024-03-06,OP,PJ_000153,626,401,49125.36,Services sous-traitance,2,,Pointée
154,2024-03-27,AC,PJ_000154,641,401,20378.22,Honoraires consultant,3,PROJ_010,Validée
155,2024-03-25,AC,PJ_000155,615,401,11414.07,Services sous-traitance,8,PROJ_005,Validée
156,2024-03-23,OP,PJ_000156,623,401,44247.4,Achats matériaux,1,,Validée
157,2024-03-18,AC,PJ_000157,681,401,24813.72,Services sous-traitance,3,,Validée
158,2024-03-15,TR,PJ_000158,626,401,2225.83,Honoraires consultant,2,PROJ_003,Validée
159,2024-03-09,VE,PJ_000159,623,401,2696.64,Achats matériaux,9,PROJ_005,Validée
160,2024-03-02,OP,PJ_000160,626,401,20718.43,Services sous-traitance,5,,Validée
161,2024-03-05,AC,PJ_000161,623,401,11399.07,Honoraires consultant,1,,Brouillon
162,2024-03-19,TR,PJ_000162,681,401,41321.71,Achats matériaux,8,PROJ_013,Validée
163,2024-03-24,TR,PJ_000163,623,401,39972.59,Facture fournisseur,9,PROJ_013,Validée
164,2024-03-10,OP,PJ_000164,626,401,5738.79,Maintenance,7,PROJ_013,Brouillon
165,2024-03-19,VE,PJ_000165,615,401,44014.04,Services sous-traitance,5,PROJ_018,Validée
166,2024-03-14,TR,PJ_000166,641,401,37953.47,Achats matériaux,1,PROJ_008,Validée
167,2024-03-28,VE,FA_000167,411,701,11270.14,Facture client,3,PROJ_016,Validée
168,2024-03-07,VE,FA_000168,411,706,85777.32,Facture client,2,PROJ_015,Validée
169,2024-03-22,VE,FA_000169,411,706,141211.99,Facture client,4,PROJ_018,Validée
170,2024-03-17,VE,FA_000170,411,701,117937.8,Facture client,10,PROJ_001,Validée
171,2024-03-24,VE,FA_000171,411,706,16403.88,Facture client,4,PROJ_003,Validée
172,2024-03-12,VE,FA_000172,411,701,13442.17,Facture client,1,PROJ_006,Validée
173,2024-03-19,VE,FA_000173,411,701,45351.22,Facture client,10,PROJ_002,Validée
174,2024-03-04,VE,FA_000174,411,701,69665.38,Facture client,9,PROJ_007,Validée
175,2024-03-11,VE,FA_000175,411,706,40907.75,Facture client,4,PROJ_011,Validée
176,2024-03-17,VE,FA_000176,411,706,144853.13,Facture client,5,PROJ_015,Validée
177,2024-03-27,VE,FA_000177,411,701,145032.87,Facture client,9,PROJ_005,Brouillon
178,2024-03-01,VE,FA_000178,411,706,54903.98,Facture client,2,PROJ_003,Validée
179,2024-03-25,VE,FA_000179,411,706,110089.37,Facture client,8,PROJ_014,Validée
180,2024-03-21,VE,FA_000180,411,701,31512.13,Facture client,2,PROJ_020,Validée
181,2024-03-12,VE,FA_000181,411,706,14553.67,Facture client,10,PROJ_003,Validée
182,2024-03-15,TR,BQ_000182,401,512,16144.28,Paiement fournisseur,1,,Validée
183,2024-03-12,TR,BQ_000183,512,411,116098.41,Encaissement client,9,PROJ_002,Validée
184,2024-03-24,TR,BQ_000184,401,512,98513.38,Paiement fournisseur,1,,Validée
185,2024-03-08,TR,BQ_000185,401,512,69643.38,Paiement fournisseur,2,,Validée
186,2024-03-14,TR,BQ_000186,401,512,73579.32,Paiement fournisseur,9,,Validée
187,2024-03-01,TR,BQ_000187,401,512,91242.77,Paiement fournisseur,6,,Validée
188,2024-03-19,TR,BQ_000188,512,411,55988.55,Encaissement client,9,PROJ_014,Validée
189,2024-03-15,TR,BQ_000189,401,512,63724.79,Paiement fournisseur,4,,Validée
190,2024-04-01,TR,PJ_000190,615,401,28202.61,Maintenance,1,PROJ_001,Brouillon
191,2024-04-01,VE,PJ_000191,626,401,41313.45,Achats matériaux,6,PROJ_014,Validée
192,2024-04-15,OP,PJ_000192,623,401,10407.44,Facture fournisseur,8,PROJ_003,Brouillon
193,2024-04-09,OP,PJ_000193,641,401,46842.51,Facture fournisseur,2,PROJ_008,Validée
194,2024-04-20,OP,PJ_000194,641,401,17302.78,Services sous-traitance,4,PROJ_006,Validée
195,2024-04-26,OP,PJ_000195,606,401,24304.74,Maintenance,10,PROJ_018,Validée
196,2024-04-23,AC,PJ_000196,625,401,32689.56,Services sous-traitance,10,PROJ_014,Validée
197,2024-04-08,AC,PJ_000197,641,401,43655.72,Services sous-traitance,2,,Validée
198,2024-04-05,AC,PJ_000198,622,401,49818.53,Services sous-traitance,10,PROJ_015,Validée
199,2024-04-12,AC,PJ_000199,641,401,9122.57,Achats matériaux,8,PROJ_004,Validée
200,2024-04-20,VE,PJ_000200,606,401,25489.82,Services sous-traitance,9,PROJ_002,Validée
201,2024-04-02,TR,PJ_000201,626,401,30087.32,Achats matériaux,3,PROJ_012,Validée
202,2024-04-18,OP,PJ_000202,606,401,31762.23,Services sous-traitance,10,PROJ_016,Validée
203,2024-04-10,VE,PJ_000203,615,401,12258.39,Honoraires consultant,5,,Validée
204,2024-04-22,OP,PJ_000204,626,401,43602.12,Facture fournisseur,4,PROJ_006,Validée
205,2024-04-25,VE,PJ_000205,622,401,48485.91,Honoraires consultant,5,PROJ_008,Validée
206,2024-04-04,OP,PJ_000206,641,401,48506.14,Services sous-traitance,10,,Validée
207,2024-04-10,TR,PJ_000207,626,401,22714.49,Facture fournisseur,1,PROJ_008,Validée
208,2024-04-01,VE,PJ_000208,623,401,13000.13,Maintenance,9,PROJ_015,Validée
209,2024-04-05,TR,PJ_000209,623,401,39198.62,Maintenance,6,,Validée
210,2024-04-18,AC,PJ_000210,641,401,49341.3,Honoraires consultant,4,,Validée
211,2024-04-03,AC,PJ_000211,622,401,22883.85,Honoraires consultant,1,PROJ_014,Validée
212,2024-04-20,TR,PJ_000212,622,401,49338.19,Services sous-traitance,2,PROJ_007,Validée
213,2024-04-15,OP,PJ_000213,623,401,26325.64,Maintenance,7,,Validée
214,2024-04-16,TR,PJ_000214,641,401,47021.08,Achats matériaux,5,,Validée
215,2024-04-06,VE,PJ_000215,641,401,43473.04,Achats matériaux,1,PROJ_011,Validée
216,2024-04-18,VE,PJ_000216,681,401,12585.29,Facture fournisseur,8,PROJ_004,Validée
217,2024-04-19,VE,PJ_000217,625,401,47073.33,Honoraires consultant,9,,Validée
218,2024-04-18,OP,PJ_000218,606,401,30445.22,Facture fournisseur,9,PROJ_013,Validée
219,2024-04-13,OP,PJ_000219,623,401,14789.94,Achats matériaux,6,PROJ_006,Validée
220,2024-04-02,AC,PJ_000220,641,401,38233.11,Services sous-traitance,1,,Validée
221,2024-04-25,AC,PJ_000221,623,401,16754.87,Achats matériaux,7,PROJ_019,Validée
222,2024-04-25,TR,PJ_000222,606,401,30026.03,Services sous-traitance,6,,Validée
223,2024-04-14,VE,PJ_000223,626,401,32307.51,Facture fournisseur,3,PROJ_008,Validée
224,2024-04-06,AC,PJ_000224,615,401,45754.71,Facture fournisseur,5,PROJ_005,Validée
225,2024-04-04,TR,PJ_000225,641,401,30591.3,Achats matériaux,5,,Validée
226,2024-04-15,OP,PJ_000226,606,401,4028.37,Maintenance,3,,Brouillon
227,2024-04-22,VE,PJ_000227,625,401,10130.64,Maintenance,5,,Validée
228,2024-04-15,TR,PJ_000228,681,401,26846.88,Achats matériaux,4,PROJ_002,Validée
229,2024-04-04,VE,PJ_000229,622,401,41247.11,Maintenance,10,PROJ_007,Validée
230,2024-04-17,VE,FA_000230,411,706,89423.71,Facture client,8,PROJ_004,Validée
231,2024-04-22,VE,FA_000231,411,701,122838.96,Facture client,8,PROJ_013,Validée
232,2024-04-27,VE,FA_000232,411,706,10361.76,Facture client,6,PROJ_009,Validée
233,2024-04-15,VE,FA_000233,411,706,95537.34,Facture client,9,PROJ_010,Validée
234,2024-04-16,VE,FA_000234,411,701,87929.19,Facture client,5,PROJ_004,Validée
235,2024-04-19,VE,FA_000235,411,701,129164.4,Facture client,10,PROJ_018,Validée
236,2024-04-10,VE,FA_000236,411,706,73247.48,Facture client,5,PROJ_015,Validée
237,2024-04-12,VE,FA_000237,411,701,130791.59,Facture client,5,PROJ_017,Validée
238,2024-04-05,VE,FA_000238,411,706,99876.01,Facture client,7,PROJ_011,Validée
239,2024-04-14,VE,FA_000239,411,701,98482.17,Facture client,9,PROJ_002,Validée
240,2024-04-07,VE,FA_000240,411,701,107320.24,Facture client,10,PROJ_007,Validée
241,2024-04-11,VE,FA_000241,411,706,148775.84,Facture client,3,PROJ_004,Validée
242,2024-04-10,VE,FA_000242,411,701,136773.47,Facture client,4,PROJ_008,Validée
243,2024-04-04,VE,FA_000243,411,706,36861.43,Facture client,1,PROJ_006,Validée
244,2024-04-04,VE,FA_000244,411,706,71937.39,Facture client,2,PROJ_005,Validée
245,2024-04-21,TR,BQ_000245,512,411,122634.28,Encaissement client,3,PROJ_012,Validée
246,2024-04-26,TR,BQ_000246,512,411,137202.52,Encaissement client,7,PROJ_012,Validée
247,2024-04-02,TR,BQ_000247,512,411,199141.29,Encaissement client,7,PROJ_020,Validée
248,2024-04-08,TR,BQ_000248,401,512,13432.9,Paiement fournisseur,5,,Validée
249,2024-04-13,TR,BQ_000249,401,512,76709.59,Paiement fournisseur,7,,Validée
250,2024-04-16,TR,BQ_000250,401,512,45155.47,Paiement fournisseur,7,,Validée
251,2024-04-16,TR,BQ_000251,512,411,67162.09,Encaissement client,8,PROJ_020,Validée
252,2024-04-03,TR,BQ_000252,401,512,27291.0,Paiement fournisseur,3,,Validée
253,2024-05-08,TR,PJ_000253,681,401,1491.3,Maintenance,1,PROJ_020,Validée
254,2024-05-18,TR,PJ_000254,606,401,39501.15,Honoraires consultant,6,,Validée
255,2024-05-04,VE,PJ_000255,625,401,15504.85,Achats matériaux,9,,Brouillon
256,2024-05-09,OP,PJ_000256,623,401,25731.35,Achats matériaux,4,PROJ_006,Brouillon
257,2024-05-11,TR,PJ_000257,625,401,28942.08,Maintenance,10,PROJ_017,Validée
258,2024-05-18,VE,PJ_000258,681,401,31583.53,Achats matériaux,6,,Validée
259,2024-05-14,AC,PJ_000259,622,401,4505.5,Achats matériaux,2,,Pointée
260,2024-05-18,AC,PJ_000260,615,401,32228.12,Facture fournisseur,6,PROJ_014,Validée
261,2024-05-16,AC,PJ_000261,623,401,38358.09,Services sous-traitance,3,PROJ_013,Validée
262,2024-05-08,TR,PJ_000262,606,401,24172.58,Maintenance,4,PROJ_006,Validée
263,2024-05-11,TR,PJ_000263,641,401,31169.6,Services sous-traitance,3,PROJ_002,Validée
264,2024-05-02,VE,PJ_000264,625,401,24487.78,Facture fournisseur,7,,Validée
265,2024-05-09,VE,PJ_000265,622,401,39243.45,Maintenance,1,PROJ_007,Validée
266,2024-05-05,TR,PJ_000266,625,401,30953.36,Maintenance,4,PROJ_007,Validée
267,2024-05-05,VE,PJ_000267,681,401,44386.91,Honoraires consultant,3,PROJ_014,Validée
268,2024-05-22,OP,PJ_000268,615,401,48209.2,Services sous-traitance,5,,Validée
269,2024-05-10,TR,PJ_000269,641,401,34208.25,Honoraires consultant,1,PROJ_018,Validée
270,2024-05-21,AC,PJ_000270,681,401,40176.09,Maintenance,1,,Validée
271,2024-05-21,OP,PJ_000271,625,401,42295.68,Achats matériaux,4,PROJ_016,Validée
272,2024-05-08,AC,PJ_000272,623,401,40628.95,Honoraires consultant,6,PROJ_010,Brouillon
273,2024-05-09,TR,PJ_000273,606,401,5556.4,Facture fournisseur,1,PROJ_016,Validée
274,2024-05-10,TR,PJ_000274,623,401,46550.78,Honoraires consultant,7,PROJ_008,Validée
275,2024-05-17,TR,PJ_000275,625,401,3799.28,Services sous-traitance,5,PROJ_001,Validée
276,2024-05-08,AC,PJ_000276,641,401,2562.81,Services sous-traitance,1,,Validée
277,2024-05-24,TR,PJ_000277,625,401,2260.76,Achats matériaux,4,PROJ_015,Brouillon
278,2024-05-19,OP,PJ_000278,615,401,9667.18,Honoraires consultant,5,PROJ_008,Validée
279,2024-05-06,TR,PJ_000279,623,401,4589.57,Facture fournisseur,8,PROJ_009,Validée
280,2024-05-18,TR,PJ_000280,626,401,1016.17,Maintenance,9,PROJ_018,Validée
281,2024-05-04,TR,PJ_000281,615,401,14994.69,Honoraires consultant,5,PROJ_016,Validée
282,2024-05-28,VE,PJ_000282,641,401,8253.6,Facture fournisseur,8,PROJ_009,Validée
283,2024-05-27,VE,PJ_000283,606,401,27729.55,Achats matériaux,6,,Brouillon
284,2024-05-12,VE,PJ_000284,606,401,10274.79,Honoraires consultant,3,PROJ_007,Validée
285,2024-05-09,AC,PJ_000285,625,401,27428.82,Honoraires consultant,8,PROJ_014,Validée
286,2024-05-12,TR,PJ_000286,626,401,3165.98,Services sous-traitance,9,PROJ_013,Validée
287,2024-05-21,OP,PJ_000287,615,401,36436.01,Services sous-traitance,7,PROJ_013,Validée
288,2024-05-05,TR,PJ_000288,622,401,29722.21,Services sous-traitance,7,PROJ_007,Validée
289,2024-05-25,OP,PJ_000289,681,401,38175.52,Achats matériaux,10,,Validée
290,2024-05-05,TR,PJ_000290,681,401,44131.81,Services sous-traitance,10,PROJ_010,Validée
291,2024-05-14,OP,PJ_000291,615,401,30991.28,Facture fournisseur,9,PROJ_010,Validée
292,2024-05-22,VE,PJ_000292,626,401,41717.68,Facture fournisseur,2,PROJ_020,Validée
293,2024-05-19,VE,FA_000293,411,706,127875.85,Facture client,8,PROJ_019,Brouillon
294,2024-05-04,VE,FA_000294,411,706,63952.62,Facture client,4,PROJ_010,Validée
295,2024-05-03,VE,FA_000295,411,706,29295.21,Facture client,5,PROJ_008,Validée
